Well;Sample;Target;Conc(copies/µL);Status;Experiment;SampleType;TargetType;Supermix;DyeName(s);Copies/20µLWell;TotalConfMax;TotalConfMin;PoissonConfMax;PoissonConfMin;Accepted Droplets;Positives;Negatives;Ch1+Ch2+;Ch1+Ch2-;Ch1-Ch2+;Ch1-Ch2-;Linkage;CNV;TotalCNVMax;TotalCNVMin;PoissonCNVMax;PoissonCNVMin;ReferenceCopies;UnknownCopies;Threshold1;Threshold2;Threshold3;ReferenceUsed;Ratio;TotalRatioMax;TotalRatioMin;PoissonRatioMax;PoissonRatioMin;Fractional Abundance;TotalFractionalAbundanceMax;TotalFractionalAbundanceMin;PoissonFractionalAbundanceMax;PoissonFractionalAbundanceMin;MeanAmplitudeOfPositives;MeanAmplitudeOfNegatives;MeanAmplitudeTotal;ExperimentComments;MergedWells;TotalConfidenceMax68;TotalConfidenceMin68;PoissonConfidenceMax68;PoissonConfidenceMin68;TotalCNVMax68;TotalCNVMin68;PoissonCNVMax68;PoissonCNVMin68;TotalRatioMax68;TotalRatioMin68;PoissonRatioMax68;PoissonRatioMin68;TotalFractionalAbundanceMax68;TotalFractionalAbundanceMin68;PoissonFractionalAbundanceMax68;PoissonFractionalAbundanceMin68
C02;;FAM;277,703369140625;OK;DQ;Unknown;Unknown;ddPCR Supermix for Probes (no dUTP);FAM;5554,0673828125;;;285,844421386719;269,618255615234;21507;4522;16985;0;0;0;0;;;;;;;;;1904,05517578125;;;;;;;;;;;;;;5633,63845769856;901,566866356617;1896,51863722416;;;;;281,849945068359;273,571350097656;;;;;;;;;;;;
D02;;FAM;233,929168701172;OK;DQ;Unknown;Unknown;ddPCR Supermix for Probes (no dUTP);FAM;4678,58349609375;;;241,293014526367;226,61116027832;21706;3914;17792;0;0;0;0;;;;;;;;;1897,26379394531;;;;;;;;;;;;;;5682,1111183225;886,007186375076;1750,8349201649;;;;;237,680480957031;230,189804077148;;;;;;;;;;;;
E02;;FAM;94,6310501098633;OK;DQ;Unknown;Unknown;ddPCR Supermix for Probes (no dUTP);FAM;1892,62097167969;;;99,1811218261719;90,0985107421875;21595;1669;19926;0;0;0;0;;;;;;;;;832,86865234375;;;;;;;;;;;;;;3002,72429896972;292,655632065755;502,107107178637;;;;;96,9503173828125;92,3163452148438;;;;;;;;;;;;
F02;;FAM;82,0019454956055;OK;DQ;Unknown;Unknown;ddPCR Supermix for Probes (no dUTP);FAM;1640,03894042969;;;86,2985305786133;77,7210006713867;20868;1405;19463;0;0;0;0;;;;;;;;;818,770263671875;;;;;;;;;;;;;;3018,38146794547;291,492059309865;475,087977420514;;;;;84,1921234130859;79,8158493041992;;;;;;;;;;;;
G02;;FAM;67,8843765258789;OK;DQ;Unknown;Unknown;ddPCR Supermix for Probes (no dUTP);FAM;1357,6875;;;71,767936706543;64,0135879516602;21010;1178;19832;0;0;0;0;;;;;;;;;809,281799316406;;;;;;;;;;;;;;3094,91374633996;291,110745827389;448,315883124096;;;;;69,8641815185547;65,9078979492188;;;;;;;;;;;;
H02;;FAM;114,631317138672;OK;DQ;Unknown;Unknown;ddPCR Supermix for Probes (no dUTP);FAM;2292,62646484375;;;119,833557128906;109,45198059082;20196;1875;18321;0;0;0;0;;;;;;;;;844,080444335938;;;;;;;;;;;;;;3156,03521477865;286,922892581583;553,291757907366;;;;;117,282646179199;111,985954284668;;;;;;;;;;;;
A03;;FAM;171,037155151367;OK;DQ;Unknown;Unknown;ddPCR Supermix for Probes (no dUTP);FAM;3420,7431640625;;;177,824340820313;164,28889465332;18166;2458;15708;0;0;0;0;;;;;;;;;825,217895507813;;;;;;;;;;;;;;2837,3744525956;296,241763919979;640,076628434164;;;;;174,495101928711;167,589324951172;;;;;;;;;;;;
B03;;FAM;No Call;CHECK;DQ;Unknown;Unknown;ddPCR Supermix for Probes (no dUTP);FAM;;;;;;20092;0;20092;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;0;298,519085558482;298,519085558483;;;;;;;;;;;;;;;;;;
C03;;FAM;43,4578094482422;OK;DQ;Unknown;Unknown;ddPCR Supermix for Probes (no dUTP);FAM;869,156188964844;;;46,5578842163086;40,3658790588379;20874;757;20117;0;0;0;0;;;;;;;;;778,221130371094;;;;;;;;;;;;;;2792,45458081345;297,76784812069;388,238187138054;;;;;45,038459777832;41,8792762756348;;;;;;;;;;;;
D03;;FAM;73,840217590332;OK;DQ;Unknown;Unknown;ddPCR Supermix for Probes (no dUTP);FAM;1476,80432128906;;;77,8555603027344;69,8385314941406;21435;1304;20131;0;0;0;0;;;;;;;;;795,879272460938;;;;;;;;;;;;;;2896,82337301055;294,891100344137;453,179865613884;;;;;75,8871536254883;71,7968368530273;;;;;;;;;;;;
E03;;FAM;155,633422851563;OK;DQ;Unknown;Unknown;ddPCR Supermix for Probes (no dUTP);FAM;3112,66845703125;;;161,597610473633;149,699325561523;21249;2633;18616;0;0;0;0;;;;;;;;;833,173950195313;;;;;;;;;;;;;;2993,57664930762;295,83980441534;630,120999417521;;;;;158,672592163086;152,602096557617;;;;;;;;;;;;
F03;;FAM;156,550384521484;OK;DQ;Unknown;Unknown;ddPCR Supermix for Probes (no dUTP);FAM;3131,0078125;;;162,62077331543;150,511199951172;20643;2572;18071;0;0;0;0;;;;;;;;;845,651245117188;;;;;;;;;;;;;;3036,89849191431;295,368988583423;636,947920064654;;;;;159,643600463867;153,465286254883;;;;;;;;;;;;
G03;;FAM;49,025505065918;OK;DQ;Unknown;Unknown;ddPCR Supermix for Probes (no dUTP);FAM;980,510131835938;;;52,3204078674316;45,7397994995117;20899;853;20046;0;0;0;0;;;;;;;;;838,172729492188;;;;;;;;;;;;;;3126,43989890346;299,254396065045;414,64696192567;;;;;50,7054252624512;47,3479804992676;;;;;;;;;;;;
H03;;FAM;119,03914642334;OK;DQ;Unknown;Unknown;ddPCR Supermix for Probes (no dUTP);FAM;2380,78295898438;;;124,402061462402;113,700553894043;19775;1903;17872;0;0;0;0;;;;;;;;;876,444885253906;;;;;;;;;;;;;;3173,35756979625;296,121753778859;573,005685909382;;;;;121,772270202637;116,312347412109;;;;;;;;;;;;
